id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365	number_of_reviews_ltm	license
6369	Rooftop terrace room ,  ensuite bathroom	13660	Simon	Chamartín	Hispanoamérica	40.45724	-3.67688	Private room	69	3	95	2022-06-07	0.64	1	92	17	
21853	Bright and airy room	83531	Abdel	Latina	Cármenes	40.40381	-3.7413	Private room	31	4	33	2018-07-15	0.35	2	310	0	
23001	Apartmento Arganzuela- Madrid Rio	82175	Jesus	Arganzuela	Legazpi	40.3884	-3.69511	Entire home/apt	46	15	1	2022-03-01	0.30	7	319	1	
24805	Gran Via Studio Madrid	346366726	Alvaro	Centro	Universidad	40.42183	-3.70529	Entire home/apt	92	5	18	2022-05-31	0.20	1	148	7	
26825	Single Room whith private Bathroom	114340	Agustina	Arganzuela	Legazpi	40.38975	-3.69018	Private room	27	2	163	2022-05-22	1.11	1	286	14	
28200	Apartamento Arganzuela Planetario	82175	Jesus	Arganzuela	Legazpi	40.3886	-3.69492	Entire home/apt	50	30	7	2021-09-11	0.05	7	334	4	
30959	Beautiful loft in Madrid Center	132883	Angela	Centro	Embajadores	40.41259	-3.70105	Entire home/apt	54	3	8	2017-05-30	0.09	1	0	0	
40718	COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA	34217435	Luis	Centro	Justicia	40.41969	-3.69736	Entire home/apt	78	2	124	2022-03-19	0.86	9	252	6	
560941	In Salamanca - Serrano Apartment	596469	Gabriel Avalos	Salamanca	Recoletos	40.42297	-3.69095	Entire home/apt	162	5	28	2021-12-08	0.27	27	339	4	
47957	Amazing Apartment, Salamanca Distri	218515	Sergio	Salamanca	Goya	40.42792	-3.67682	Entire home/apt	82	10	57	2022-01-08	0.41	2	119	2	
565152	wonderful aparment in lavapies !!	2779192	Wanda	Centro	Embajadores	40.40683	-3.69932	Entire home/apt	54	3	188	2022-03-01	1.95	1	84	13	VT-8490
336672	Great apartment ∞4 rooms∞ close to City Center	1716726	Jesús	Arganzuela	Delicias	40.39516	-3.69309	Entire home/apt	106	3	82	2022-05-30	1.50	5	41	25	
336834	2 bedroom apartament in Chueca-Fuen	1713427	Helena	Centro	Justicia	40.42242	-3.69562	Entire home/apt	65	5	46	2021-08-29	0.37	1	7	2	
62423	MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID	303845	Arturo	Centro	Justicia	40.41884	-3.69655	Private room	56	1	130	2022-05-29	2.62	2	340	47	
336869	Direct to Plaza Mayor!	6365055	Ana & Ricardo	Centro	Sol	40.41593	-3.70602	Private room	87	2	105	2018-10-09	0.85	10	0	0	
566241	LOVELY APARTMENT CLOSE TO REINA SOFIA MUSEUM	2785251	Susana	Centro	Embajadores	40.40913	-3699	Entire home/apt	75	90	31	2021-11-28	0.26	2	311	1	
70059	Tu hogar en centro de Madrid.	353616	Diana	Centro	Universidad	40.42381	-3.71038	Entire home/apt	61	28	56	2022-05-14	0.41	1	205	15	VT-7440
568190	Rooms to rent to students,tourists	2795931	Pilar	Latina	Puerta del Angel	40.41016	-3.72863	Private room	20	2	195	2019-03-07	1.69	1	6	0	
337292	Principe de Vergara. Homey Room	1714866	Francisco	Chamartín	Ciudad Jardín	40.44663	-3.67625	Private room	35	2	7	2017-04-18	0.06	1	0	0	
70073	Adorable Apartment Malasaña-Gran Via	353738	Raquel	Centro	Universidad	40.42252	-3.7025	Entire home/apt	85	28	26	2022-03-31	0.20	4	285	7	
339144	COZY APARTMENT MADRID MALASAÑA	1721158	Pau&Patricia	Centro	Universidad	40.42838	-3.70345	Entire home/apt	70	14	131	2022-04-02	1.06	2	245	7	
70310	Heart of Malasaña Cozy, Quiet & Sunny Apartment	353738	Raquel	Centro	Universidad	40.42252	-3.7025	Entire home/apt	66	28	25	2022-05-31	0.18	4	331	5	
339171	PRADO MUSEUM AIR & OnSiteParking (*)	1722284	Cesar	Centro	Cortes	40.41285	-3.69553	Entire home/apt	95	3	174	2022-05-01	1.41	1	166	17	VT-6570
570158	Stanza- Carina	2347489	Jeanet	Tetuán	Cuatro Caminos	40447	-3.70291	Private room	21	6	38	2022-04-26	0.32	1	136	4	
74352	Cozy apartment in the coolest  neighbourhood	391014	Juan	Centro	Embajadores	40.40864	-3.70884	Entire home/apt	80	8	5	2019-08-04	0.08	1	131	0	
572048	Rooms to rent in a shared flat	1689652	Alfredo	Chamberí	Trafalgar	40.42993	-3.70339	Private room	30	3	0			1	0	0	
341939	Self-catering Apartment in Madrid	1694537	Miguel Angel & Iaia	Centro	Embajadores	40.41037	-3.70018	Entire home/apt	51	30	171	2022-01-31	1.37	1	254	4	
82481	Retiro Park, Stay at cosy studio	448981	Mercedes	Salamanca	Recoletos	40.42342	-3.68123	Entire home/apt	63	3	108	2017-11-29	0.80	1	0	0	
342095	Lovely apartment CENTRAL MADRID !	1703448	Elena	Centro	Embajadores	40.41015	-3.69797	Entire home/apt	82	5	34	2022-05-18	0.28	2	319	2	
342557	Berlin's Park at your window. Parking included.	1738288	Jose Angel	Chamartín	Ciudad Jardín	40.45005	-3.67569	Private room	76	2	61	2022-05-28	0.58	1	325	7	
576487	House in Barajas, close to AIRPORT andIFEMA	2312712	Pilar	Barajas	Casco Histórico de Barajas	40.4739	-3.57583	Entire home/apt	82	1	467	2022-06-02	3.97	1	134	65	
84719	Cool Apart. (10min Center + WIFI)	259229	Felipe	Centro	Embajadores	40.40866	-3.70374	Entire home/apt	60	7	187	2021-09-29	1.38	1	46	2	VT2922
578731	CENTRIC, QUIET, BRIGHT APARTMENT.	2847013	Santiago	Centro	Universidad	40.42551	-3.70812	Entire home/apt	96	2	340	2022-01-29	2.83	3	287	2	VT680
342670	beautiful apartament & cozy terrace	1738846	Carlos	Arganzuela	Palos de Moguer	40.40501	-3.69626	Entire home/apt	200	3	30	2019-08-15	0.26	1	179	0	
86042	Cozy attic with intimate rooftop terrace+ elevator	364585	Vin	Centro	Embajadores	40.40939	-3.69812	Entire home/apt	171	3	161	2022-05-15	1.21	4	159	8	VT-3974
345249	CASTELLANA CASTELLANA DELUXE FINANCIAL DISTRICT	1751133	The Punset Family	Tetuán	Almenara	40.47148	-3.68946	Entire home/apt	95	150	28	2019-12-15	0.25	1	294	0	VT-1896
588382	Apartment in the center of Madrid	2902269	Ane	Centro	Embajadores	40.41151	-3.70257	Entire home/apt	190	2	5	2014-05-19	0.05	1	0	0	
588518	Penthouse with Stunning Balcony Near Plaza Mayor	2267893	Ana	Centro	Palacio	40.4158	-3.70962	Entire home/apt	240	4	63	2022-05-30	0.67	1	170	7	VT-12828
89954	Amazing apt in the historic center	487095	Beatriz	Centro	Palacio	40.41358	-3.71353	Entire home/apt	114	2	209	2020-03-11	1.57	1	105	0	VT 3441
590710	Single/Double private room	2913511	Amparo	Usera	San Fermín	40.36725	-3.68875	Private room	41	4	62	2022-05-09	0.52	1	364	6	
354838	Entire apartment Plaza de España!	1496188	Juanpe	Centro	Universidad	40.4249	-3.7097	Entire home/apt	70	20	38	2018-07-03	0.31	2	0	0	
92920	Bedroom in Chueca Madrid	495849	Raul	Centro	Justicia	40.42491	-3.69552	Private room	55	2	98	2022-05-29	0.73	1	344	6	
361053	Cozy, luminous  excellenty placed	1729503	Ana	Retiro	Niño Jesús	40.40988	-3.67503	Entire home/apt	92	2	166	2022-06-06	1.34	2	102	10	VUT 8713
363476	PUERTA DEL SOL-QUIET DOWNTOWN	1836617	Bibiana	Centro	Sol	40.41676	-3.70682	Private room	49	2	456	2022-05-27	3.69	1	254	58	
